Date,Linked and QO,Linked and not QO,Unlinked
8/10/2021,31,11,11
8/11/2021,33,13,15
8/12/2021,26,19,14
8/13/2021,20,16,9
8/14/2021,29,14,14
8/15/2021,30,9,11
8/16/2021,32,7,9
8/17/2021,35,5,12
8/18/2021,23,14,12
8/19/2021,11,5,13
8/20/2021,19,5,12
8/21/2021,11,7,14
8/22/2021,9,5,15
8/23/2021,51,30,13
8/24/2021,48,37,26
8/25/2021,44,54,20
8/26/2021,44,49,19
8/27/2021,58,40,22
8/28/2021,44,53,16
8/29/2021,43,62,19
8/30/2021,53,65,29
8/31/2021,48,41,67
9/1/2021,54,45,78
9/2/2021,56,41,91
9/3/2021,56,81,79
9/4/2021,84,86,83
9/5/2021,63,44,79
9/6/2021,91,45,99
9/7/2021,91,52,185
9/8/2021,94,48,205
9/9/2021,119,77,254
9/10/2021,187,70,311
9/11/2021,171,151,228
